English,frequency,Bulgarian
you,1222421,Вие
i,1052546,аз
to,823661,да се
the,770161,пълен член
a,563578,А.
and,480214,и
that,413389,че
it,388320,то
of,332038,на
me,312326,аз
what,285826,Какво
is,282222,е
in,266544,в
this,249860,това
know,241548,зная
I'm,230304,Аз съм
for,216535,за
no,212463,не
have,210523,. \ t
my,210429,мой
don't,206663,не
just,196810,просто
not,195058,не
do,194183,правя
be,191823,бъда
on,191646,На
your,188060,Вашият
was,184170,беше
we,181863,Ние
it's,176919,това е
with,169586,в
so,169088,така
but,159109,но
all,158281,всичко
well,155201,добре
are,152650,. \ t
he,150009,той
oh,148780,О.
about,142750,относно
right,137218,дясно
you're,135738,Ти си
get,126849,имам
here,124368,тук
out,121867,навън
going,121435,в хода
like,121194,като
yeah,121148,Да
if,120553,чест
her,116265,неяс
she,110122,тя
can,107652,мога
up,103826,пост
want,102822,искам
think,102403,мисля
that's,102146,това е
now,100909,сега
go,100905,отивам
him,96536,него
at,93433,в
how,87908,How.
got,86085,има
there,85662,там
one,84057,един
did,79053,Направих
why,78554,защо
see,75968,вж
come,72807,идвам
good,72798,добре
they,69192,те
really,68311,наистина ли
as,67977,като
would,67718,би се
look,67262,виж
when,65117,кога
time,64891,време
will,64811,ще
okay,63509,добре
back,63115,обратно
can't,62602,не мога
mean,61504,означава
tell,61352,казвам
I'll,61169,аз ще
from,59972,от
hey,58699,Хей
were,58127,бяха
he's,57551,той е
could,57285,бих могъл
didn't,56732,не
yes,55828,Да
his,55502,негодник
been,55235,. \ t
or,55062,или
something,54736,нещо
who,53799,Кой
because,53566,заради
some,53265,нещо подобно
had,52561,чест
then,52197,тогава
say,50213,казвам
ok,49968,Добре
take,49868,предприеме
an,49832,Ан.
way,49794,начин
us,49492,нас
little,47885,малко
make,46154,онези
need,46040,трябва
gonna,45124,да
never,44728,никога
we're,43491,бяха
too,43360,и също
love,42994,любов
she's,42795,тя е
I've,42160,Аз
sure,40757,сигурен
them,40366,тях
more,40239,Повече ▼
over,40001,над
our,39896,нашия
sorry,39854,съжалявам
where,39330,където
what's,39305,какво има
let,38858,позволявам
thing,38121,нещо
am,37814,. \ t
maybe,37653,може би
down,37644,набиване
man,37355,човек
has,37145,има
uh,36435,щ.ч.
very,36140,много
by,35500,до
there's,35242,има
should,34829,Трябва
anything,34635,всичко
said,34568,казах
much,34270,много
any,34203,. \ t
life,34192,живот
even,33895,дори
off,33887,онези
please,33628,Моля те
doing,32831,правене
thank,31728,благодарение
give,31073,давам
only,30599,само
thought,30211,мисъл
help,29825,помогне
two,29788,две.
talk,28834,говоря
people,28517,хора
god,28502,Бог
still,28308,все още
wait,27920,изчакайте
into,27354,в
find,26757,намирам
nothing,26592,Нищо
again,26472,отново
things,26305,неща
let's,26132,Нека да
doesn't,25926,не
call,25880,повикване
told,25594,разказа
great,25435,страхотен
before,25329,преди
better,25282,По-добре
ever,25127,някога
night,24900,нощ
than,24815,от него
away,24543,далеч
first,24509,Първо
believe,24210,вярвам
other,23936,ДРУГИ
feel,23850,Усещам
everything,23714,всичко
work,23683,работа
you've,23483,Вие сте
fine,22993,глоба
home,22901,У дома
after,22182,след
last,21965,последно
these,21929,тези
day,21860,ден
keep,21842,пазя
does,21731,прави
put,21617,слагам
around,21591,наоколо
stop,21341,Спри се
they're,21309,те са
I'd,21221,Документ за самоличност
guy,21126,човек
long,21086,Дълго
isn't,20796,не
always,20581,винаги
listen,20142,слушам
wanted,20074,търси се
Mr.,20053,Г-н.
guys,19953,момчета
huh,19871,Хю.
those,19849,тези
big,19520,Big.
lot,19421,много
happened,19282,се случи
thanks,19233,Благодаря
won't,19208,няма
trying,19173,опитвайки
kind,19031,мил
wrong,19025,погрешно
through,18903,през
talking,18875,Говорене
made,18872,откровение
new,18860,нов
being,18666,да бъдеш
guess,18473,предположение
hi,18285,Здравей
care,18042,грижа
bad,17636,лоша
mom,17514,мама
remember,17266,помня
getting,17199,получаване
we'll,17077,добре
together,17074,заедно
dad,17003,татко
leave,16978,оставям
mother,16855,майка
place,16796,място
understand,16724,. \ t
wouldn't,16615,нямаше
actually,16585,всъщност
hear,16523,чувам
baby,16514,Бебе
nice,16275,Ница
father,16233,баща
else,16214,друго
stay,16167,престой
done,16010,Свършен
wasn't,16007,не беше
their,15907,техен
course,15866,Курс
might,15774,"биха могли, може"
mind,15364,ум
every,15350,на всеки
enough,15322,достатъчно
try,15235,опитвам
hell,15191,по дяволите
came,15142,дошла
someone,15035,някой
you'll,14958,Ще
own,14849,собствен
family,14765,Семейство
whole,14623,цялото
another,14541,друг
house or House,14458,къща или къща
Jack or jack,14324,Джак или Джак
yourself,14291,себе си
idea,14203,Идея
ask,14194,питам
best,14094,най-доброто
must,14089,трябва да
coming,14082,идва
old,14041,стар
looking,13843,търсене
woman,13734,жена
hello,13655,Здравейте
which,13652,който
years,13526,години
room,13467,стая
money,13456,пари
left,13428,наляво
knew,13357,Знаех
tonight,13305,Тази вечер
real,13161,реален
son,13131,Син
hope,13093,надявам се
name,13044,Име
same,13024,един и същ
went,12892,. \ T
um,12883,учтивост
hmm,12819,Хм.
happy,12788,щастлив
pretty,12746,красива
saw,12707,трион
girl,12641,момиче
sir,12557,господин
show,12392,шоу
friend,12245,приятел
already,12233,Вече
saying,12204,казвам
may or May,12199,май или май
next,12147,следващия
three,12088,три
job,12047,работа
problem,11931,Проблем
minute,11903,Минута.
found,11875,намерен
world,11754,свят
thinking,11721,мислене
haven't,11699,не съм
heard,11692,чудо
honey,11659,пчелен мед
matter,11578,материя
myself,11559,себе си
couldn't,11550,не можеше
exactly,11502,точно
having,11481,имам
ah,11347,Ах.
probably,11332,вероятно
happen,11273,случайно
we've,11200,Ние сме
hurt,11145,болки
boy,11050,момче
both,11035,и двете
while,11006,докато
dead,11002,мъртъв
gotta,11000,Готва
alone,10813,сам
since,10757,от
excuse,10747,извинение
start,10704,start.
kill,10676,убийство
hard,10608,трудно
you'd,10577,бихте искали
today,10561,днес
car,10485,кола
ready,10461,готов
until,10432,до
without,10421,без
whatever,10363,както и да е
wants,10269,иска
hold,10254,държа се
wanna,10250,искам да
yet,10225,още
seen,10192,вид
deal,10143,сделка
took,10083,взеха
once,9931,веднъж
gone,9877,си отиде
called,9871,Наречен
morning,9823,сутрин
supposed,9818,предполагаем
friends,9814,Приятели
head,9794,глава
stuff,9709,неща
most,9699,Повечето
used,9623,използван
worry,9620,тревога
second,9605,втори
part,9518,част
live,9507,жива
truth,9470,истина
school,9443,училище
face,9441,лице
forget,9322,забрана
TRUE,9296,ВЯРНО
business,9295,бизнес
each,9277,всеки
cause,9277,причиняването
soon,9261,скоро
knows,9217,Познава
few,9164,малцина
telling,9129,казвам
wife,9125,съпруга
who's,9109,Кой е
use,9096,работа
chance,9081,шанс
run,9076,проницателност
move,9073,ход
anyone,9050,всеки
person,8997,човек
bye,8969,чао
J.,8942,J.
somebody,8923,някой
Dr. or dr.,8917,Д-р или д-р.
heart,8824,сърце
such,8813,такъв
miss,8806,мис
married,8798,женен
point,8707,точка
later,8636,по късно
making,8623,правене
meet,8608,Среща
anyway,8517,така или иначе
many,8504,много неща
phone,8424,Телефон
reason,8395,причина
damn,8367,по дяволите
lost,8348,изгубен
looks,8337,външен вид
bring,8320,донасям
case,8287,дело
turn,8264,договор
wish,8262,пожелавам
tomorrow,8254,утре
kids,8247,Деца
trust,8187,Доверие
check,8185,проверка
change,8176,промяната
end,8171,край
late,8164,късен
anymore,8160,повече
five,8137,пет
least,8119,най-малко
town,8099,Град
aren't,8065,не
ha,8033,Ха.
working,8016,работа
year,8013,година
makes,8001,прави
taking,7996,привличане
means,7980,Средства
brother,7952,брат
play,7883,играя
hate,7839,омраза
ago,7836,преди
says,7821,казва
beautiful,7813,красив
gave,7759,дам
fact,7654,факт
crazy,7650,луд
party,7633,парти
sit,7625,Sit.
open,7598,отворен
afraid,7587,уплашен
between,7585,отблизо
important,7582,Важно
rest,7417,Почивка
fun,7404,Забавление
kid,7380,дете
word,7355,Дума
watch,7310,гледам
glad,7277,Радвам се
everyone,7214,всеки
days,7213,дни
sister,7188,Сестра
minutes,7185,минути
everybody,7163,всички
bit,7158,билет
couple,7150,двойка
whoa,7081,ухапване
either,7075,също
Mrs.,7064,Г-жа
feeling,7058,чувство
daughter,7057,дъщеря
wow,7036,Еха
gets,7023,. \ t
asked,7009,попита
under,6999,под внимание
break,6941,пробив
promise,6926,обещай
door,6907,вратичка
set,6878,комплект
close,6877,близо
hand,6872,ръка
easy,6848,лесен
question,6841,въпрос
doctor,6841,лекар
tried,6830,опитах
far,6728,дамски
walk,6619,разходка
needs,6555,нужди
trouble,6510,работа
mine,6503,моята
though,6502,въпреки това
times,6475,време
different,6464,различно
killed,6390,убит
hospital,6378,болница
anybody,6376,всеки
Sam or SAM,6354,Сам или Сам
alright,6348,добре
wedding,6334,сватба
shut,6294,затворен
able,6289,способен
die,6280,умират
perfect,6276,съвършенство
police,6260,Полиция
stand,6257,столица
comes,6256,идва
hit,6248,хит
story,6231,история
ya,6212,у а
mm,6192,mm.
waiting,6132,очакване
dinner,6099,вечеря
against,6064,против
funny,6054,забавен
husband,6038,съпруг
almost,6037,почти
stupid,6020,глупак
pay,6016,заплащане
answer,6016,отговор
four,6014,четири
office,5955,Офис
cool,5954,готино
eyes,5950,Очи
news,5936,Новини
child,5913,дете
shouldn't,5874,не трябва
half,5819,половин
side,5813,страничен
yours,5805,Ваш
moment,5770,момент
sleep,5747,спя
read,5743,Прочети
where's,5711,където има
started,5707,Начало
young,5680,Млад
men,5678,Мъже
sounds,5665,Звуци
sonny or Sonny,5635,Сони или Сони
lucky,5631,Лъки
pick,5610,избит
sometimes,5596,понякога
em,5590,Ем.
bed,5589,легло
also,5583,също
date,5581,дата
line,5564,Линия
plan,5557,План
hours,5503,часа
lose,5459,проницателност
fire,5452,пожар
free,5433,Безплатно
hands,5428,ръце
serious,5390,сериозен
Leo,5390,Лео
shit,5388,лайна
behind,5388,задник
inside,5379,вътре
high,5377,Високо
ahead,5364,напред
week,5356,седмица
wonderful,5341,чудесен
T.,5329,Т.
fight,5326,битка
past,5315,пост.
cut,5305,разрез
quite,5304,точност
number,5289,номер
he'll,5262,Той ще го направи
sick,5256,болен
S.,5255,С.
it'll,5217,Това ще бъде
game,5212,игра
eat,5202,Яжте
nobody,5195,Никой
goes,5194,отива
death,5165,смърт
along,5147,по цял свят
save,5144,Save.
seems,5138,Изглежда
finally,5118,накрая
lives,5095,живот
worried,5066,притеснен
upset,5064,разстроен
Theresa,5056,Има
Carly,5055,Карли
Ethan,5033,Итън
met,5032,МЗ
book,5027,Книга
brought,5010,донесе
seem,5001,Изглежда
sort,5000,вид
safe,4999,Сейф
living,4999,жив
children,4944,Деца
weren't,4896,не бях
leaving,4889,напускане
front,4868,Фронт
shot,4866,изстрел
loved,4851,обичан
asking,4851,попитам
running,4842,работа
clear,4836,ясен
figure,4785,фигура
hot,4777,Горещо
felt,4748,чувствах
six,4737,Шест
parents,4725,родители
drink,4706,пиене
absolutely,4704,Абсолютно
how's,4652,как да
daddy,4641,Татко
sweet,4628,сладка
alive,4628,жив
Paul,4616,Поул
sense,4597,смисъл
meant,4596,. \ T
happens,4589,случва се
David,4589,Дейвид
special,4573,специален
bet,4548,Bet.
blood,4542,кръв
ain't,4541,не е
kidding,4539,шегуване
lie,4536,лъжа
full,4533,Пълен
meeting,4532,Среща
dear,4516,уважаеми
coffee,4499,кафе
seeing,4495,виждане
sound,4488,звук
fault,4484,грешки
water,4469,вода
fuck,4453,Майната
ten,4448,десет
women,4441,Жени
John or john,4413,Джон или Йоан
welcome,4373,добре дошли
buy,4345,Купува
months,4333,месеци
hour,4325,час
speak,4322,говоря
lady,4301,дама
Jen,4301,Досега
thinks,4298,мисли
Christmas,4284,Коледа
body,4271,тяло
order,4270,поръчка
outside,4260,навън
hang,4243,вися
possible,4228,възможен
worse,4218,по-лошо
company,4209,търговско дружество
mistake,4185,грешка
ooh,4184,OOH.
handle,4181,ръкохватка
spend,4175,харча
C.,4166,° С.
totally,4157,изцяло
giving,4143,даване
control,4134,контрол
here's,4130,тук
marriage,4129,брак
realize,4114,осъзнавам
D.,4108,Д.
power,4094,власт
president,4086,Президент
unless,4078,освен ако не
sex,4049,Секс
girls,4048,момичета
send,4045,изпращане
needed,4043,необходим
O. or o,4030,О. или О.
taken,3997,взета
died,3996,умира
scared,3991,уплашен
picture,3984,снимка
talked,3975,говори
Jake,3962,Джейк
Al,3958,Ал
ass,3947,задника
hundred,3942,сто години
changed,3929,променен
completely,3919,Напълно
explain,3913,Обяснете
playing,3899,играя
certainly,3895,разбира се
sign,3890,знак
boys,3888,момчета
relationship,3880,връзка
Michael,3878,Майкъл
loves,3876,обича
fucking,3843,шибан
hair,3839,косъм
lying,3837,легнало
choice,3828,избор
anywhere,3821,навсякъде
secret,3810,тайна
future,3798,Бъдеще
weird,3797,странен
luck,3792,късмет
she'll,3780,Тя ще бъде
Max or max.,3773,Макс или макс.
Luis,3773,Луис
turned,3770,обърнат
known,3757,известен
touch,3755,докос
kiss,3750,целувка
Crane or crane,3744,Кран или кран
questions,3741,въпроси
obviously,3741,очевидно
wonder,3735,чудя се
pain,3720,болки
calling,3714,обаждане
somewhere,3707,някъде
throw,3697,хвърлям
straight,3695,прав
Grace or grace,3693,Грейс или Грейс
cold,3690,студ
white or White,3665,бяло или бяло
fast,3661,бърз
Natalie,3660,Натали
words,3647,Думи
R.,3636,Резюме
food,3632,храна
none,3615,нито един
drive,3607,Движение
feelings,3603,чувство
they'll,3593,те ще
worked,3577,работа
marry,3564,женен
light,3554,светлина
test,3547,тест
drop,3546,изпускайте
cannot,3537,не мога
Frank,3525,Франк
sent,3524,изпратен
city,3515,град
dream,3471,мечта
protect,3465,защита
twenty,3463,Двадесет
class,3458,клас
Lucy,3450,Луси
surprise,3439,изненада
its,3439,. \ T
sweetheart,3434,Скъпа
forever,3432,завинаги
poor,3431,беден
looked,3431,поглед
mad,3407,луд
except,3406,с изключение
gun,3396,пистолет
y'know,3395,y'Know.
dance,3394,танци
takes,3386,привличане
appreciate,3379,оценявам
especially,3376,особено
situation,3359,ситуация
besides,3355,Освен това
weeks,3350,седмици
pull,3340,издърпайте
himself,3331,себе си
hasn't,3318,няма
act,3307,Акт
worth,3303,заслужава си
Sheridan,3299,Шеридан
amazing,3294,невероятно
top,3283,връх
given,3283,даден
expect,3277,очаквам
Ben,3262,Устойчивост
rather,3241,по-скоро
Julian,3240,Джулиан
involved,3240,участващи
swear,3239,Закълни се
piece,3239,парче
busy,3229,зает
law,3225,право
decided,3224,Решено
black or Black,3217,черни или черни
Joey,3216,Joey.
happening,3210,случва се
movie,3209,филм
we'd,3205,ние бихме
catch,3194,улов
Antonio,3188,Антонио
country,3187,страна
less,3173,по-малко
perhaps,3165,може би
step,3161,Стъпка
fall,3157,есен
watching,3152,Гледане
kept,3152,държането
darling,3146,Дарлинг
dog,3141,кучета
Ms.,3131,Госпожица.
win,3126,печеля
air,3126,въздух
honor,3106,чест
personal,3103,личен
moving,3102,движещ се
till,3091,до
admit,3091,признавам
problems,3090,Проблеми
murder,3089,убийство
strong,3088,сила
he'd,3087,той щеше
evil,3078,зъл
definitely,3068,определено
feels,3067,Чувствам се
information,3063,информация
honest,3063,честен
eye,3063,Огледа
broke,3044,счупено
missed,3043,пропуснати
longer,3043,повече време
dollars,3042,долар
tired,3029,изморен
Jason,3026,Джейсън
George,3013,Джордж
evening,2998,Вечерта
human,2986,човек
starting,2984,стартиране
Ross,2981,Рос
red,2976,червен
entire,2976,Цялата
trip,2975,пътуване
Brooke,2969,Брук
E.,2964,Д.
club,2963,клуб
Niles,2956,Наклони
suppose,2952,Да предположим
calm,2948,спокоен
imagine,2946,Представете си
Todd,2943,Тод
fair,2941,панаир
caught,2933,хванат
B.,2928,Б.
blame,2923,вина
street,2920,улица
sitting,2920,разглеждане
favor,2920,услуга
apartment,2920,Апартамент
court,2919,съдебна зала
terrible,2914,ужасно
clean,2914,Чисто
Tony or tony,2913,Тони или Тони
learn,2912,уча
Alison,2910,Алисън
Rick,2909,Рик
works,2903,върши работа
Rose or rose,2890,Роза или роза
Frasier,2887,Фрейзър
relax,2877,отпуснете се
York,2873,Йорк
million,2873,милион
charity,2865,благотворителност
accident,2860,злополука
wake,2857,събуждам
prove,2852,докажи
Danny,2848,Дани
smart,2847,умни
message,2846,съобщение
missing,2845,Липсва
forgot,2845,Забравена
small,2843,Малък
interested,2838,заинтересовани
table,2835,таблица
nbsp,2824,откровение
become,2816,да стане
Craig,2810,Крейг
mouth,2807,устие
pregnant,2805,бременна
middle,2802,в средата
Billy or billy,2797,Били или Били
ring,2786,пръстен
careful,2785,внимателен
shall,2779,дама
dude,2775,пич
team,2773,Екип
ride,2768,езда
figured,2766,. \ t
wear,2765,износване
shoot,2759,стрелец
stick,2753,пръчка
Ray or ray,2752,Лъч или лъч
follow,2752,последвам
Bo,2751,Бо.
angry,2747,ядосан
instead,2744,вместо
buddy,2743,приятел
write,2741,пиша
stopped,2719,спряна
early,2719,рано
Angel or angel,2701,Ангел или ангел
Nick or nick,2699,Ник или Ник
ran,2692,проницателност
war,2690,война
standing,2690,стоящ
forgive,2690,прощавам
jail,2684,затвор
wearing,2678,носене
Miguel,2678,Мигел
ladies,2670,Дами
kinda,2662,горе-долу
lunch,2660,Обяд
Cristian,2659,Кристиан
eight,2655,Осем
Greenlee,2654,Greenlee.
gotten,2640,подновявам се
hoping,2639,надявайки се
Phoebe,2638,Фийби
thousand,2633,хиляда
ridge,2633,хребет
music,2631,Музика
Luke,2614,Люк
paper,2607,Хартия
tough,2606,тежки
tape,2605,лента
Emily,2595,Емили
state,2592,Държава
count,2589,броя
college,2589,Колежа
boyfriend,2589,Приятел
proud,2586,горда
agree,2584,Съгласен
birthday,2580,Рожден ден
bill,2572,Бил
seven,2569,Седем
they've,2566,те са
Timmy,2565,Тими
history,2564,История
share,2563,дял
offer,2563,оферта
hurry,2559,бързам
ow,2557,обшивка
feet,2555,крака
wondering,2549,чудейки се
simple,2549,прост
decision,2548,Решение
building,2546,сграда
ones,2539,нечий
finish,2535,завършек
voice,2530,Глас
herself,2530,себе си
Chris,2529,Крис
would've,2523,щеше да бъде
list,2518,. \ t
Kay,2517,Кей.
mess,2516,бъркотия
deserve,2516,заслужават
evidence,2514,доказателства
cute,2504,сладък
Jerry,2503,Джери
dress,2501,рокля
Richard,2499,Ричард
interesting,2497,Интересно
Jesus,2487,Исус
James,2478,Джеймс
hotel,2463,Хотел
enjoy,2463,наслади се
Ryan,2461,Райън
Lindsay,2461,Lindsay.
quiet,2454,тишина
concerned,2452,обезпокоен
road,2448,пътник
Eve or eve,2445,Eve или eve.
staying,2443,престой
short,2440,къс
M.,2440,М.
beat,2440,набиване
sweetie,2439,скъпа
mention,2434,споменавам
clothes,2434,Облекло
finished,2423,завършен
fell,2419,паднал
neither,2417,нито едното
mmm,2414,mmm.
fix,2414,поправка
Victor or victor,2412,Виктор или Виктор
respect,2410,уважение
spent,2406,. \ t
prison,2401,затвор
attention,2397,Внимание
holding,2394,ХОЛДИНГ
calls,2389,разговори
near,2386,близо до
surprised,2381,изненадан
bar,2376,бар
Beth,2375,Лет
pass,2374,проход
keeping,2371,съхраняемост
gift,2371,подарък
hadn't,2369,не беше
putting,2366,поставяне
dark,2361,тъмен
self,2358,себе си
owe,2354,дълга
using,2345,използвайки
Nora,2345,Нора
ice,2345,лед
helping,2342,Подпомагане
bitch,2341,кучка
normal,2339,нормално
aunt,2339,леля
lawyer,2338,адвокат
apart,2336,на части
certain,2333,някои
plans,2327,планове
Jax,2326,Джакс
girlfriend,2325,приятелка
floor,2325,Етаж
whether,2316,Дали
everything's,2316,всички неща
present,2313,предчувствие
earth,2312,Земя
private,2311,Частни
Jessica,2310,Джесика
box,2304,кутия
Dawson,2303,Досек
cover,2298,Покрийте
judge,2294,съдия
upstairs,2293,на горния етаж
Alexis,2287,Алексис
Shawn,2281,Шон.
sake,2281,Семеринг
mommy,2281,мама
possibly,2280,евентуално
worst,2276,най-лошото